UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	76
0	512
2	5
37	35
0	3
15	62
21	0
23	29
5	14
128	11
0	14
10	48
2	47
0	26
1	2
5	33
60	5
3	2
3	7
0	3
2	1
68	8
11	0
50	147
30	0
12	71
30	29
95	124
13	167
0	9
44	0
32	0
2	0
0	0
12	92
13	240
31	507
37	0
5	54
0	35
110	0
180	0
303	5
0	97
0	2
1	6
15	7
15	0
41	9
38	17
33	22
0	0
1	1
173	0
1	98
174	8
0	71
341	0
87	8
0	2
24	33
0	76
11	33
122	0
52	69
47	0
50	0
112	0
121	2
92	0
63	0
83	0
16	0
99	0
80	0
64	0
41	0
47	0
9	1
0	1
26	0
20	0
77	0
0	0
38	0
46	0
11	0
2	0
3	0
40	0
90	4
15	4
0	0
35	0
9	0
20	0
29	0
62	98
17	71
4	512
4	5
6	35
0	3
20	62
3	14
0	14
90	51
21	47
5	26
1	2
10	33
1	2
10	147
15	71
11	167
0	9
0	0
13	92
27	240
133	508
3	54
7	35
28	97
28	0
34	0
136	0
137	0
65	0
36	0
22	0
0	0
51	0
0	0
22	0
49	2
148	69
64	2
172	0
0	4
0	23
0	58
0	60
0	106
0	39
0	13
0	8
0	49
0	57
1	0
0	0
0	0
0	0
0	4
0	0
1	8
0	3
0	0
0	0
0	5
0	0
0	0
0	9
0	13
0	13
0	0
0	0
0	8
0	5
4	15
2	19
0	10
0	19
0	0
0	0
0	0
0	0
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
1	1
0	0
0	56
0	58
0	47
0	55
0	0
0	1738
0	1738
0	1
0	1
0	5
0	3
0	8
0	2
0	2
0	5
0	0
0	0
6	469
0	0
0	0
0	0
0	0
0	2
0	0
0	0
0	0
3	76
0	0
0	0
0	0
0	5
0	19
0	58
0	22
10	36
0	20
0	20
6	12
0	11
0	11
0	47
0	86
0	23
0	58
0	59
0	38
0	9
0	59
0	55
0	0
0	1
0	1
0	1
0	0
0	1
0	1
0	0
0	1
0	1
0	1
0	0
0	1
0	3
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
15	0
0	3
0	3
0	0
0	1
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	3
0	1958
2	1765
5	1370
1	1104
0	678
0	1741
0	0
0	1
0	1
0	0
0	1
0	0
0	47
0	45
0	0
0	28
0	63
0	65
1	111
