UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	1
0	3
0	1
0	1
0	0
0	0
0	1
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
1	2
0	0
0	0
0	3
0	3
0	0
0	1
0	2
0	1
0	0
0	0
1	1
0	2
0	1
0	1
0	1
1	0
0	0
1	0
0	1
0	2
0	1
0	0
0	0
0	0
0	0
0	0
0	1
2	0
0	0
0	1
0	1
0	2
0	1
0	0
0	0
0	0
0	2
0	1
0	0
1	3
0	0
0	1
0	1
0	0
0	0
1	0
0	1
0	1
0	2
0	1
0	2
0	4
0	1
0	1
0	1
0	0
0	0
0	1
0	3
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	1
0	1
0	0
0	0
0	0
0	1
0	1
0	1
0	1
0	2
2	0
0	1
0	1
1	0
4	0
3	0
1	0
0	1
0	1
2	0
2	0
0	0
1	0
0	0
0	0
0	0
1	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	5
0	5
0	2
0	2
0	0
0	0
0	0
1	1
0	2
0	2
0	2
0	1
0	1
0	1
0	1
0	1
0	2
0	0
0	0
0	2
0	4
0	1
0	1
0	0
0	0
0	0
0	0
0	1
0	1
0	0
0	4
0	3
3	2
0	2
2	0
1	0
0	3
0	3
4	0
3	5
0	0
0	4
0	4
0	4
0	0
1	0
1	0
7	0
1	0
0	1
0	0
0	0
1	0
3	1
0	1
0	0
4	26
3	5
11	45
0	159
0	159
2	4
2	8
0	5
0	0
0	9
0	9
1	9
0	4
0	1
0	0
1	1
3	0
0	0
2	77
0	12
0	2
0	0
0	2
1	0
0	2
1	1
1	3
0	1
0	1
0	0
0	5
0	143
0	144
0	144
0	6
0	6
2	2
0	3
0	3
0	0
1	1
0	2
0	2
7	36
1	33
0	0
0	3
1	4
0	3
0	1
0	1
0	0
0	0
0	1
3	1
0	0
3	0
0	0
0	0
0	0
0	0
4	1
6	0
5	11
7	5
1	11
0	9
0	0
0	8
2	1
0	1
2	1
2	8
0	4
12	0
0	0
0	0
1	0
5	1
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
3	1
2	3
0	0
0	0
0	0
0	0
0	1
0	1
0	6
0	0
0	0
1	0
0	0
0	6
0	0
0	0
1	0
1	0
1	0
0	2
1	0
0	0
0	0
0	0
1	1
0	1
0	128
0	126
4	1
0	2
0	2
7	0
2	3
0	3
0	0
0	0
3	1
