Run,Age,alignment_software (exp),Assay Type,AssemblyName,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Breed,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Genotype,id,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sex,SRA Study,tissue,Cell_type,treatment
SRR2075552,6-8 weeks,STAR,RNA-Seq,GCF_000001635.20,150,4655386153,PRJNA287664,SAMN03785068,Model organism or animal,C57BL/6,2231170851,YALE UNIVERSITY,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1070581,WT,1,Illumina HiSeq 2500,CD8_WT.1,PAIRED,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-15T00:00:00Z,CD8_WT.1,female,SRP059792,Splenocytes,P14 CD8+ T cells,
SRR2075553,6-8 weeks,STAR,RNA-Seq,GCF_000001635.20,150,3389132120,PRJNA287664,SAMN03785069,Model organism or animal,C57BL/6,1625308492,YALE UNIVERSITY,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1070582,WT,2,Illumina HiSeq 2500,CD8_WT.2,PAIRED,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-15T00:00:00Z,CD8_WT.2,female,SRP059792,Splenocytes,P14 CD8+ T cells,
SRR2075554,6-8 weeks,STAR,RNA-Seq,GCF_000001635.20,150,3271395288,PRJNA287664,SAMN03785070,Model organism or animal,C57BL/6,1565180083,YALE UNIVERSITY,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1070583,WT,3,Illumina HiSeq 2500,CD8_WT.3,PAIRED,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-15T00:00:00Z,CD8_WT.3,female,SRP059792,Splenocytes,P14 CD8+ T cells,
SRR2075555,6-8 weeks,STAR,RNA-Seq,GCF_000001635.20,149,4697472880,PRJNA287664,SAMN03785071,Model organism or animal,C57BL/6,2365849366,YALE UNIVERSITY,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1070584,Zeb2-KO,4,Illumina HiSeq 2500,CD8_Zeb2-KO.1,PAIRED,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-15T00:00:00Z,CD8_Zeb2-KO.1,female,SRP059792,Splenocytes,P14 CD8+ T cells,
SRR2075556,6-8 weeks,STAR,RNA-Seq,GCF_000001635.20,150,10618535578,PRJNA287664,SAMN03785072,Model organism or animal,C57BL/6,4561325664,YALE UNIVERSITY,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1070585,Zeb2-KO,5,Illumina HiSeq 2500,CD8_Zeb2-KO.2,PAIRED,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-15T00:00:00Z,CD8_Zeb2-KO.2,female,SRP059792,Splenocytes,P14 CD8+ T cells,
SRR2075557,6-8 weeks,STAR,RNA-Seq,GCF_000001635.20,150,7155862794,PRJNA287664,SAMN03785073,Model organism or animal,C57BL/6,3241177393,YALE UNIVERSITY,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1070586,Zeb2-KO,6,Illumina HiSeq 2500,CD8_Zeb2-KO.3,PAIRED,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-15T00:00:00Z,CD8_Zeb2-KO.3,female,SRP059792,Splenocytes,P14 CD8+ T cells,
SRR2075558,6-8 weeks,STAR,RNA-Seq,GCF_000001635.20,148,4250084294,PRJNA287664,SAMN03785074,Model organism or animal,C57BL/6,2232260061,YALE UNIVERSITY,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1070587,Tbx21-KO,7,Illumina HiSeq 2500,CD8_Tbx21-KO.1,PAIRED,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-15T00:00:00Z,CD8_Tbx21-KO.1,female,SRP059792,Splenocytes,P14 CD8+ T cells,
SRR2075559,6-8 weeks,STAR,RNA-Seq,GCF_000001635.20,148,1966072108,PRJNA287664,SAMN03785075,Model organism or animal,C57BL/6,1021333298,YALE UNIVERSITY,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1070588,Tbx21-KO,8,Illumina HiSeq 2500,CD8_Tbx21-KO.2,PAIRED,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-15T00:00:00Z,CD8_Tbx21-KO.2,female,SRP059792,Splenocytes,P14 CD8+ T cells,
SRR2075560,6-8 weeks,STAR,RNA-Seq,GCF_000001635.20,149,4194733009,PRJNA287664,SAMN03785076,Model organism or animal,C57BL/6,2027967467,YALE UNIVERSITY,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1070589,Tbx21-KO,9,Illumina HiSeq 2500,CD8_Tbx21-KO.3,PAIRED,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-15T00:00:00Z,CD8_Tbx21-KO.3,female,SRP059792,Splenocytes,P14 CD8+ T cells,
SRR2075561,6-8 weeks,STAR,RNA-Seq,GCF_000001635.20,149,4937775836,PRJNA287664,SAMN03785077,Model organism or animal,C57BL/6,2437119860,YALE UNIVERSITY,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1070590,WT,10,Illumina HiSeq 2500,CD8_MP.1,PAIRED,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-09-15T00:00:00Z,CD8_MP.1,female,SRP059792,Splenocytes,P14 CD8+ KLRG1lo IL7Rhi T cells,
