SYMBOL,ENTREZID
Adam22,11496
App,11820
Atp1b1,11931
Celsr3,107934
Cx3cr1,13051
E2f7,52679
Elovl7,74559
Epha1,13835
Fcgrt,14132
Frmd4a,209630
Ggt1,14598
Gm11604,666613
Gm14494,100043869
Gm8412,666997
Gm9727,72342
Gzma,14938
Igfbp4,16010
Ighg2b,16016
Irf6,54139
Kcnj3,16519
Kcnj8,16523
Klrc1,16641
Klrd1,16643
Klri2,320407
Lmna,16905
Lzts2,226154
Maml3,433586
Mob3b,214944
Myo10,17909
Nacc2,67991
Nckap1,50884
Nedd4l,83814
Pard3,93742
Ppargc1a,19017
Ptk2,14083
Rap1gap2,380711
Rara,19401
Rasl11a,68895
Snord17,100313519
Syk,20963
Tgfb3,21809
Tmem79,71913
Tppp,72948
