SYMBOL,ENTREZID
5830411N06Rik,244234
A530064N14Rik,402761
Abcg3,27405
BC049352,408059
Cd101,630146
Comt,12846
Esm1,71690
Gdpd5,233552
Gm10154,100040611
Gm10505,100038429
Gm10874,100303731
Gm12816,433745
Gm6637,625931
Gpr83,14608
Icosl,50723
Id2,15902
Ikzf2,22779
Il1rl1,17082
Irf5,27056
Izumo1r,64931
Kdm4d,244694
Klrb1c,17059
Klrb1f,232408
Lrrc75aos2,66829
Olfr60,18361
Paqr3,231474
Plagl1,22634
Podnl1,244550
Scg5,20394
Serpina3f,238393
Sostdc1,66042
St6galnac3,20447
Tmem163,72160
Txlnb,378431
Zfp870,240066
