UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	8
0	1
0	15
0	4
0	4
0	8
0	4
0	4
7	420
0	2
1	14
1	3
1	2
0	1
13	0
0	1
0	1
0	9
47	336
0	254
0	18
0	15
0	6
0	6
0	2
26	63
0	63
1	5
0	5
0	1
0	8
0	17
0	8
11	359
0	105
34	28
0	0
0	0
1	13
0	6
0	5
0	1
1	8
0	1
0	9
1	0
0	0
3	4
2	23
1	22
0	2
0	2
0	44
0	49
0	4
0	1
1	5
0	9
0	6
0	0
0	0
0	0
0	6
4	4
2	15
0	15
0	13
10	8
1	0
9	3
0	0
0	3
3	0
0	3
0	2
0	0
5	12
4045	428
9	23
0	20
2	1
0	3
7	3
4	3
1	10
6	224
8	108
37	28
12	20
0	15
1	4
6	3
6	8
8	8
0	0
0	0
16	15
3	28
0	8
28	172
0	3
80	22
11	61
0	61
0	0
0	0
10	0
93	0
15	133
0	133
0	2701
0	2699
1773	2682
3	0
0	0
0	0
8	27
0	27
18	0
3	10
0	10
0	6
3	4
0	16
1	5
0	8
0	3
2	16
19	20
0	8
0	5
0	2
2	1
0	1
0	0
3	0
0	5
0	5
0	1
0	1
12	2
0	2
37	0
14	0
13	0
164	0
81	0
73	1
4	23
0	18
252	2
101	61
1457	66
8	0
22	0
49	0
62	0
121	0
126	0
0	0
0	0
0	4
0	9
0	6
0	0
4	5
0	5
0	9
0	9
37	0
104	51
0	0
0	0
0	56
23	5
3	55
2	18
0	56
0	0
0	0
0	62
0	62
0	2
0	0
5	2
0	0
0	0
0	0
0	154
0	1
11	91
0	66
0	0
146	108
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	347
0	336
0	347
0	336
0	346
0	336
1	6
0	1
0	1
0	347
16	3315
0	0
0	0
0	0
0	0
0	0
26	1545
2	1525
0	1474
0	148
0	5
0	2
0	148
5	13
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	14
0	14
0	14
0	0
0	134
0	72
0	0
0	0
0	0
0	0
3	7
0	49
0	0
0	1
0	49
3	0
0	0
0	0
6	11
2	259
0	256
0	0
0	2
0	1
2	2
0	0
1	57
7	3
0	0
0	0
0	0
0	0
0	0
0	0
0	54
2	4
0	0
1	0
0	0
0	0
0	2
0	7
0	0
0	0
0	0
0	0
0	0
0	1
1	1
1	0
1	32
1	0
0	0
55	464
61	659
1	340
0	34
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
7	397
4	171
0	370
0	368
0	27
0	336
0	0
0	0
0	0
1	0
0	0
0	0
