gs_name,gene_symbol
CD4_CTL_EFF,Klrd1
CD4_CTL_EFF,Ascl2
CD4_CTL_EFF,Cmklr1
CD4_CTL_EFF,Cd8B1
CD4_CTL_EFF,Nmur1
CD4_CTL_EFF,Spon2
CD4_CTL_EFF,Prf1
CD4_CTL_EFF,Ccl4
CD4_CTL_EFF,Gzme
CD4_CTL_EFF,Nkg7
CD4_CTL_EFF,Lgr6
CD4_CTL_EFF,Pcdh1
CD4_CTL_EFF,Frmpd3
CD4_CTL_EFF,Ptpn3
CD4_CTL_EFF,Fasl
CD4_CTL_EFF,Fcgr4
CD4_CTL_EFF,Cst3
CD4_CTL_EFF,Efhd2
CD4_CTL_EFF,Ctsw
CD4_CTL_EFF,Fgr
CD4_CTL_EFF,Ttc38
CD4_CTL_EFF,Tbx21
CD4_CTL_EFF,Ogn
CD4_CTL_EFF,Cst7
CD4_CTL_EFF,Klrk1
CD4_CTL_EFF,Metrn
CD4_CTL_EFF,Efna5
CD4_CTL_EFF,Prss23
CD4_CTL_EFF,Erbb2
CD4_CTL_EFF,Cd8A
CD4_CTL_EFF,Matk
CD4_CTL_EFF,Ccl3
CD4_CTL_EFF,Fcrl6
CD4_CTL_EFF,Ttc16
CD4_CTL_EFF,Plek
CD4_CTL_EFF,Ptgds
CD4_CTL_EFF,S1Pr5
CD4_CTL_EFF,Tyrobp
CD4_CTL_EFF,Osbpl5
CD4_CTL_EFF,Fcgr4
CD4_CTL_EFF,Slamf7
CD4_CTL_EFF,Tgfbr3
CD4_CTL_EFF,F2R
CD4_CTL_EFF,Cd244A
CD4_CTL_EFF,1700025G04Rik
CD4_CTL_EFF,Rassf4
CD4_CTL_EFF,Slc27A3
CD4_CTL_EFF,Enc1
CD4_CTL_EFF,Setbp1
CD4_CTL_EFF,Usp28
CD4_CTL_EFF,Cx3Cr1
CD4_CTL_EFF,Sh3Rf2
CD4_CTL_EFF,Rgs9
CD4_CTL_EFF,Prok2
CD4_CTL_EFF,Abi3
CD4_CTL_EFF,Zfp683
CD4_CTL_EFF,Arhgap26
CD4_CTL_EFF,Ifng
CD4_CTL_EFF,Plod1
CD4_CTL_EFF,Fads1
CD4_CTL_EFF,Zeb2
CD4_CTL_EFF,Akr1C18
CD4_CTL_EFF,Adap1
CD4_CTL_EFF,Ccl5
CD4_CTL_EFF,Colgalt2
CD4_CTL_EFF,1500009L16Rik
CD4_CTL_EFF,Samd3
CD4_CTL_EFF,Clic3
CD4_CTL_EFF,Sbk1
CD4_CTL_EFF,St8Sia6
CD4_CTL_EFF,Gzma
CD4_CTL_EFF,Sh2D1B1
CD4_CTL_EFF,Prr5L
CD4_CTL_EFF,Klrg1
CD4_CTL_EFF,Gab3
CD4_CTL_EFF,Ppp2R2B
CD4_CTL_EFF,Pik3Ap1
CD4_CTL_EFF,Slc2A8
CD4_CTL_EFF,Chst12
CD4_CTL_EFF,Adrb2
CD4_CTL_EFF,Gpr141
CD4_CTL_EFF,Apmap
CD4_CTL_EFF,Mxra7
CD4_CTL_EFF,Itgam
CD4_CTL_EFF,Oasl1
CD4_CTL_EFF,Cep78
CD4_CTL_EFF,Aoah
CD4_CTL_EFF,Man1A
CD4_CTL_EFF,Tbkbp1
CD4_CTL_EFF,Gfi1
CD4_CTL_EFF,Slc15A4
CD4_CTL_EFF,Mlc1
CD4_CTL_EFF,Slco4C1
CD4_CTL_EFF,Crim1
CD4_CTL_EFF,Runx3
CD4_CTL_EFF,Fgl2
CD4_CTL_EFF,Fcer1G
CD4_CTL_EFF,Ptgdr
CD4_CTL_EFF,Wipi1
CD4_CTL_EFF,Plekhf1
CD4_CTL_EFF,Slc15A2
CD4_CTL_EFF,Pik3R3
CD4_CTL_EFF,Tesc
CD4_CTL_EFF,Dab2
CD4_CTL_EFF,Palld
CD4_CTL_EFF,Gfod1
CD4_CTL_EFF,Tpst2
CD4_CTL_EFF,Llgl2
CD4_CTL_EFF,Hdac9
CD4_CTL_EFF,F8A
CD4_CTL_EFF,Susd1
CD4_CTL_EFF,Syngr1
CD4_CTL_EFF,Ptch1
CD4_CTL_EFF,Podn
CD4_CTL_EFF,Crtam
CD4_CTL_EFF,Gse1
CD4_CTL_EFF,Patl2
CD4_CTL_EFF,Il10
CD4_CTL_EFF,Coro1C
CD4_CTL_EFF,Gk5
CD4_CTL_EFF,Rassf1
CD4_CTL_EFF,Tspan2
CD4_CTL_EFF,Fut11
CD4_CTL_EFF,Gnptab
CD4_CTL_EFF,Cd300A
CD4_CTL_EFF,Hbb-Bs
CD4_CTL_EFF,Rap2A
CD4_CTL_EFF,Rhbdf2
CD4_CTL_EFF,Dock5
CD4_CTL_EFF,Slc2A6
CD4_CTL_EFF,Alyref
CD4_CTL_EFF,Sap30
CD4_CTL_EFF,Ppp1R14C
CD4_CTL_EFF,Rab27B
CD4_CTL_EFF,B4Galt5
CD4_CTL_EFF,Fhad1
CD4_CTL_EFF,Gzmm
CD4_CTL_EFF,Mtss1
CD4_CTL_EFF,Map3K8
CD4_CTL_EFF,Lgals1
CD4_CTL_EFF,2510039O18Rik
CD4_CTL_EFF,Sertad3
CD4_CTL_EFF,Slc25A20
CD4_CTL_EFF,Slc2A1
CD4_CTL_EFF,Ptpre
CD4_CTL_EFF,Ephx4
CD4_CTL_EFF,Lair1
CD4_CTL_EFF,Arl15
CD4_CTL_EFF,Tfdp2
CD4_CTL_EFF,Mt1
CD4_CTL_EFF,Rhoc
CD4_CTL_EFF,Tspan32
CD4_CTL_EFF,Stk39
CD4_CTL_EFF,Fndc3B
CD4_CTL_EFF,Slc25A4
CD4_CTL_EFF,Ppm1L
CD4_CTL_EFF,Rnpepl1
CD4_CTL_EFF,Cd81
CD4_CTL_EFF,Ypel1
CD4_CTL_EFF,Mctp2
CD4_CTL_EFF,Miat
CD4_CTL_EFF,Prr5
CD4_CTL_EFF,H2-Eb1
CD4_CTL_EFF,Fez1
CD4_CTL_EFF,Ifit2
CD4_CTL_EFF,Abhd17B
CD4_CTL_EFF,Sntb2
CD4_CTL_EFF,Dpy19L1
CD4_CTL_EFF,Zfp365
CD4_CTL_EFF,Rab27A
CD4_CTL_EFF,Eps8L1
CD4_CTL_EFF,Slc4A4
CD4_CTL_EFF,Slc1A7
CD4_CTL_EFF,Ctbp2
CD4_CTL_EFF,Plxnd1
CD4_CTL_EFF,Phldb2
CD4_CTL_EFF,Agpat4
CD4_CTL_EFF,Slc25A29
CD4_CTL_EFF,Cxcr1
CD4_CTL_EFF,Axin1
CD4_CTL_EFF,Actn4
CD4_CTL_EFF,Cercam
CD4_CTL_EFF,Stx7
CD4_CTL_EFF,Rnf187
CD4_CTL_EFF,Sytl3
CD4_CTL_EFF,Tfeb
CD4_CTL_EFF,Agap1
CD4_CTL_EFF,Homer1
CD4_CTL_EFF,Lag3
CD4_CTL_EFF,Extl2
CD4_CTL_EFF,Syne1
CD4_CTL_EFF,Lpcat1
CD4_CTL_EFF,Tgfbr1
CD4_CTL_EFF,Hopx
CD4_CTL_EFF,Ptpn18
CD4_CTL_EFF,Ctsc
CD4_CTL_EFF,Pstpip2
CD4_CTL_EFF,Jakmip1
CD4_CTL_EFF,Glb1L2
CD4_CTL_EFF,Ssbp3
CD4_CTL_EFF,Ermn
CD4_CTL_EFF,Carns1
CD4_CTL_EFF,Fancl
CD4_CTL_EFF,Tmcc3
CD4_CTL_EFF,Abcb10
CD4_CTL_EFF,Zfyve26
CD4_CTL_EFF,Msc
CD4_CTL_EFF,Plekhg3
CD4_CTL_EFF,Eomes
CD4_CTL_EFF,Havcr2
CD4_CTL_EFF,Litaf
CD4_CTL_EFF,Klrc1
CD4_CTL_EFF,Dthd1
CD4_CTL_EFF,Zbtb32
CD4_CTL_EFF,Serpinf1
CD4_CTL_EFF,Ptpn12
CD4_CTL_EFF,Jazf1
CD4_CTL_EFF,Cxcr2
CD4_CTL_EFF,Ptprj
CD4_CTL_EFF,9530003J23Rik
CD4_CTL_EFF,Lmo2
CD4_CTL_EFF,Nme8
CD4_CTL_EFF,Kif15
CD4_CTL_EFF,Kir3Dl1
CD4_CTL_EFF,Rab37
CD4_CTL_EFF,Atg4D
CD4_CTL_EFF,Sertad1
CD4_CTL_EFF,Ccdc102A
CD4_CTL_EFF,Abhd17C
CD4_CTL_EFF,Spn
CD4_CTL_EFF,Map2K2
CD4_CTL_EFF,Myo1F
CD4_CTL_EFF,Tox
CD4_CTL_EFF,Igf2R
CD4_CTL_EFF,Col6A2
CD4_CTL_EFF,Sytl2
CD4_CTL_EFF,Agtrap
CD4_CTL_EFF,Asl
CD4_CTL_EFF,Camk2N1
CD4_CTL_EFF,Rrbp1
CD4_CTL_EFF,B3Galt6
CD4_CTL_EFF,Sesn2
CD4_CTL_EFF,Enpp4
CD4_CTL_EFF,Trp53I11
CD4_CTL_EFF,Fam120C
CD4_CTL_EFF,Mrpl10
CD4_CTL_EFF,Atmin
CD4_CTL_EFF,Sccpdh
CD4_CTL_EFF,Ogfrl1
CD4_CTL_EFF,Fosl2
CD4_CTL_EFF,Adrb1
CD4_CTL_EFF,Pdgfrb
CD4_CTL_EFF,Henmt1
CD4_CTL_EFF,Rhebl1
CD4_CTL_EFF,Adcy4
CD4_CTL_EFF,Ptprm
CD4_CTL_EFF,Cav1
CD4_CTL_EFF,Capns1
CD4_CTL_EFF,Prkce
CD4_CTL_EFF,Strn
CD4_CTL_EFF,Myo6
CD4_CTL_EFF,Tm4Sf19
CD4_CTL_EFF,Vcl
CD4_CTL_EFF,Rab11Fip4
CD4_CTL_EFF,Itpripl1
CD4_CTL_EFF,Phc2
CD4_CTL_EFF,Aplp2
CD4_CTL_EFF,Id2
CD4_CTL_EFF,Zbtb2
CD4_CTL_EFF,Glul
CD4_CTL_EFF,Itgal
CD4_CTL_EFF,Eif4G3
CD4_CTL_EFF,Ccdc112
CD4_CTL_EFF,H2-Dma
CD4_CTL_EFF,Cpt1A
CD4_CTL_EFF,Cd63
CD4_CTL_EFF,Rapgef1
CD4_CTL_EFF,Fam3C
CD4_CTL_EFF,Dus1L
CD4_CTL_EFF,Pam
CD4_CTL_EFF,Atp2B4
CD4_CTL_EFF,Nprl2
CD4_CTL_EFF,Cisd3
CD4_CTL_EFF,Plekho2
CD4_CTL_EFF,Dip2A
CD4_CTL_EFF,Lasp1
CD4_CTL_EFF,Klf13
CD4_CTL_EFF,Cd320
CD4_CTL_EFF,Mybl1
CD4_CTL_EFF,Ctsd
CD4_CTL_EFF,Rap1B
CD4_CTL_EFF,Pon2
CD4_CTL_EFF,Galnt1
CD4_CTL_EFF,Ralgds
CD4_CTL_EFF,Keap1
CD4_CTL_EFF,Arhgap10
CD4_CTL_EFF,Trak1
CD4_CTL_EFF,Gstp1
CD4_CTL_EFF,Slc20A1
CD4_CTL_EFF,Sgpp1
CD4_CTL_EFF,Rgs3
CD4_CTL_EFF,Rmnd5A
CD4_CTL_EFF,Hcst
CD4_CTL_EFF,Rptor
CD4_CTL_EFF,Sh3Bp2
CD4_CTL_EFF,Ebp
CD4_CTL_EFF,Zbp1
CD4_CTL_EFF,Tbc1D19
CD4_CTL_EFF,A2M
CD4_CTL_EFF,Sh3Bgrl3
CD4_CTL_EFF,Slamf6
CD4_CTL_EFF,Batf
CD4_CTL_EFF,Megf9
CD4_CTL_EFF,Ptp4A2
CD4_CTL_EFF,Gng2
CD4_CTL_EFF,Ikbkg
CD4_CTL_EFF,Mt2
CD4_CTL_EFF,Lyst
CD4_CTL_EFF,Cd151
CD4_CTL_EFF,Otud7B
CD4_CTL_EFF,Ivd
CD4_CTL_EFF,Dnajc21
CD4_CTL_EFF,Fbxo6
CD4_CTL_EFF,Pi4K2A
CD4_CTL_EFF,Calhm2
CD4_CTL_EFF,Mad2L2
CD4_CTL_EFF,Slc35B2
CD4_CTL_EFF,Tnfrsf1A
CD4_CTL_EFF,Usp11
CD4_CTL_EFF,Slc30A4
CD4_CTL_EFF,Bhlhe40
CD4_CTL_EFF,Rras2
CD4_CTL_EFF,Ppp1R18
CD4_CTL_EFF,Kif21B
CD4_CTL_EFF,Adam8
CD4_CTL_EFF,Lyar
CD4_CTL_EFF,Clic1
CD4_CTL_EFF,Prdm1
CD4_CTL_EFF,Hcfc2
CD4_CTL_EFF,Tesk1
CD4_CTL_EFF,Uap1
CD4_CTL_EFF,Map2K3
CD4_CTL_EFF,Npc1
CD4_CTL_EFF,Anxa4
CD4_CTL_EFF,Gemin7
CD4_CTL_EFF,Yipf2
CD4_CTL_EFF,Itgb2
CD4_CTL_EFF,Arhgap25
CD4_CTL_EFF,Galnt10
CD4_CTL_EFF,Spata20
CD4_CTL_EFF,Fhod1
CD4_CTL_EFF,Ccdc92
CD4_CTL_EFF,Rap1Gap2
CD4_CTL_EFF,Msn
CD4_CTL_EFF,Scyl2
CD4_CTL_EFF,Stk11Ip
CD4_CTL_EFF,Cdk2Ap2
CD4_CTL_EFF,Ptpn22
CD4_CTL_EFF,Plekha2
CD4_CTL_EFF,Dyrk1A
CD4_CTL_EFF,Sirt2
CD4_CTL_EFF,Dnajc1
CD4_CTL_EFF,Apex2
CD4_CTL_EFF,Fbxl6
CD4_CTL_EFF,Ube2Q1
CD4_CTL_EFF,Tsen54
CD4_CTL_EFF,Arap2
CD4_CTL_EFF,Sdf2L1
CD4_CTL_EFF,Sh2D3C
CD4_CTL_EFF,Snx11
CD4_CTL_EFF,Ltbp4
CD4_CTL_EFF,H6Pd
CD4_CTL_EFF,Flna
CD4_CTL_EFF,Abhd17A
CD4_CTL_EFF,Map4K5
CD4_CTL_EFF,Dusp22
CD4_CTL_EFF,Fbxw5
CD4_CTL_EFF,Slc9A3R1
CD4_CTL_EFF,Trappc10
CD4_CTL_EFF,Themis2
CD4_CTL_EFF,Alkbh4
CD4_CTL_EFF,Tapbpl
CD4_CTL_EFF,Wsb2
CD4_CTL_EFF,Gabarapl1
CD4_CTL_EFF,Cnnm3
CD4_CTL_EFF,Gsap
CD4_CTL_EFF,Elf4
CD4_CTL_EFF,Gpaa1
CD4_CTL_EFF,Ctdsp1
CD4_CTL_EFF,Cdc42Ep3
CD4_CTL_EFF,Prex1
CD4_CTL_EFF,Syt11
CD4_CTL_EFF,Arhgap18
CD4_CTL_EFF,Faf1
CD4_CTL_EFF,Mmaa
CD4_CTL_EFF,Dnase2A
CD4_CTL_EFF,Tnfrsf1B
CD4_CTL_EFF,Prkcb
CD4_CTL_EFF,Lemd2
CD4_CTL_EFF,Fam228B
CD4_CTL_EFF,Ncoa1
CD4_CTL_EFF,Ube2E3
CD4_CTL_EFF,Smug1
CD4_CTL_EFF,Ddah2
CD4_CTL_EFF,Sash3
CD4_CTL_EFF,Galnt2
CD4_CTL_EFF,Zfp276
CD4_CTL_EFF,Cdca4
CD4_CTL_EFF,Myo1G
CD4_CTL_EFF,Cyba
CD4_CTL_EFF,Gtf3C1
CD4_CTL_EFF,Ltb4R1
CD4_CTL_EFF,Gatad1
CD4_CTL_EFF,Cyc1
CD4_CTL_EFF,Rab1B
CD4_CTL_EFF,Rusc1
CD4_CTL_EFF,Cyth4
CD4_CTL_EFF,Cdc16
CD4_CTL_EFF,Nfatc3
CD4_CTL_EFF,Srrt
CD4_CTL_EFF,Nfatc2
CD4_CTL_EFF,Pgp
CD4_CTL_EFF,Pop7
CD4_CTL_EFF,Pttg1
CD4_CTL_EFF,Tmem181A
CD4_CTL_EFF,Fam53B
CD4_CTL_EFF,Nadk
CD4_CTL_EFF,Kif21A
CD4_CTL_EFF,Mast3
CD4_CTL_EFF,Ccnd3
CD4_CTL_EFF,Srgn
CD4_CTL_EFF,Tpp1
CD4_CTL_EFF,Ripk2
CD4_TCM,Btg1
CD4_TCM,Il4Ra
CD4_TCM,Grina
CD4_TCM,Capg
CD4_TCM,Tagap1
CD4_TCM,Rpl4
CD4_TCM,Abhd10
CD4_TCM,Mtm1
CD4_TCM,Ranbp10
CD4_TCM,Ppp1R15A
CD4_TCM,Arhgap15
CD4_TCM,Ttc32
CD4_TCM,Setdb2
CD4_TCM,Wwp1
CD4_TCM,Rgs10
CD4_TCM,Rasa4
CD4_TCM,Mettl21A
CD4_TCM,Numa1
CD4_TCM,Pla2G12A
CD4_TCM,Dock10
CD4_TCM,Icam2
CD4_TCM,Ubqln1
CD4_TCM,Thoc3
CD4_TCM,Styx
CD4_TCM,Farsb
CD4_TCM,Fuca2
CD4_TCM,Rpl13
CD4_TCM,Paics
CD4_TCM,Grpel2
CD4_TCM,Pabpc1
CD4_TCM,Slc2A3
CD4_TCM,Gchfr
CD4_TCM,Ipo5
CD4_TCM,Ubash3A
CD4_TCM,Kdm6A
CD4_TCM,Atp6V0E2
CD4_TCM,Cetn3
CD4_TCM,Lrig1
CD4_TCM,Heca
CD4_TCM,Ipcef1
CD4_TCM,Nom1
CD4_TCM,Seh1L
CD4_TCM,Klf9
CD4_TCM,Taf9B
CD4_TCM,Ttf2
CD4_TCM,Dusp1
CD4_TCM,Tspyl1
CD4_TCM,Snai3
CD4_TCM,Lrrc8D
CD4_TCM,Tmem254A
CD4_TCM,Arid5B
CD4_TCM,Tnfsf10
CD4_TCM,Entpd6
CD4_TCM,Aen
CD4_TCM,Clybl
CD4_TCM,Nsg1
CD4_TCM,Itpkb
CD4_TCM,Ninj1
CD4_TCM,Gramd1A
CD4_TCM,Lta
CD4_TCM,Galm
CD4_TCM,Map4K4
CD4_TCM,C1Rl
CD4_TCM,Fosb
CD4_TCM,Cyld
CD4_TCM,Caap1
CD4_TCM,Riok2
CD4_TCM,Rcl1
CD4_TCM,Foxp1
CD4_TCM,Tmem14C
CD4_TCM,Sec14L2
CD4_TCM,Nfic
CD4_TCM,Galt
CD4_TCM,Nuak2
CD4_TCM,Pbxip1
CD4_TCM,Zbtb25
CD4_TCM,Csrnp1
CD4_TCM,Dnmt3A
CD4_TCM,Icos
CD4_TCM,Ttn
CD4_TCM,Pde7A
CD4_TCM,Erc1
CD4_TCM,Slc26A11
CD4_TCM,Ltbp3
CD4_TCM,Cmss1
CD4_TCM,Elk3
CD4_TCM,Mboat1
CD4_TCM,Sh3D19
CD4_TCM,Malt1
CD4_TCM,Cnst
CD4_TCM,Adal
CD4_TCM,Zfp36L2
CD4_TCM,Phtf2
CD4_TCM,Cdr2
CD4_TCM,Dnph1
CD4_TCM,Fancd2
CD4_TCM,Pick1
CD4_TCM,Cd69
CD4_TCM,Ppp1R2
CD4_TCM,Tacc3
CD4_TCM,Ing5
CD4_TCM,Sypl
CD4_TCM,Tmem106B
CD4_TCM,Nsun4
CD4_TCM,Ephb6
CD4_TCM,Hpcal1
CD4_TCM,Akap7
CD4_TCM,Cyb561
CD4_TCM,Ppat
CD4_TCM,Endov
CD4_TCM,Ly96
CD4_TCM,Polr1E
CD4_TCM,Crtc1
CD4_TCM,Plk3
CD4_TCM,Dnajb1
CD4_TCM,Egr1
CD4_TCM,Pik3Ip1
CD4_TCM,Usp10
CD4_TCM,2810006K23Rik
CD4_TCM,Tarbp1
CD4_TCM,Utp15
CD4_TCM,Gprin3
