gs_name,gene_symbol
Treg,Lrrc32
Treg,Rgs1
Treg,Foxp3
Treg,Rnf207
Treg,Ctla4
Treg,P2Ry14
Treg,Gng8
Treg,Fas
Treg,Maf
Treg,Tnfrsf4
Treg,Frmd4B
Treg,Wnt10A
Treg,Gpc1
Treg,Rab11Fip1
Treg,Zc3H12D
Treg,Rhebl1
Treg,Arid5A
Treg,Zc2Hc1A
Treg,Mb21D2
Treg,Cd109
Treg,Cmtm6
Treg,Mapk11
Treg,Hrh1
Treg,Irf4
Treg,Dusp5
Treg,Batf
Treg,Plekhg1
Treg,Hmmr
Treg,Plat
Treg,Snx10
Treg,Gna15
Treg,Mast4
Treg,Slc41A2
Treg,Gramd4
Treg,Spats2L
Treg,Ddit4
Treg,Smco4
Treg,Irf5
Treg,Tnfrsf18
Treg,Tox2
Treg,Spata24
Treg,Tymp
Treg,Prdm1
Treg,Rtkn2
Treg,Sgpp2
Treg,Col9A2
Treg,Sppl2A
Treg,Ttc7
Treg,Crem
Treg,P2Rx7
Treg,Etv6
Treg,Tns4
Treg,Socs2
Treg,Lrrc3
Treg,Stx1A
Treg,Ccdc50
Treg,Myo1C
Treg,S1Pr2
Treg,Plekhg2
Treg,Acot4
Treg,Ikzf4
Treg,Tifa
Treg,Map3K8
Treg,Ntrk2
Treg,Klhl5
Treg,Izumo4
Treg,Tfeb
CD4-NV-CM,Tmem45B
CD4-NV-CM,Ak5
CD4-NV-CM,Nog
CD4-NV-CM,Tcea3
CD4-NV-CM,Vsig1
CD4-NV-CM,Fbln5
CD4-NV-CM,Ephx2
CD4-NV-CM,Nuak2
CD4-NV-CM,Pik3Ip1
CD4-NV-CM,Hpcal4
CD4-NV-CM,Pask
CD4-NV-CM,Ankrd55
CD4-NV-CM,1190005I06Rik
CD4-NV-CM,Gpr146
CD4-NV-CM,Cysltr1
CD4-NV-CM,Lef1
CD4-NV-CM,Zbtb18
CD4-NV-CM,Vipr1
CD4-NV-CM,Gal3St4
CD4-NV-CM,Apba2
CD4-NV-CM,Tcp11L2
CD4-NV-CM,Hemgn
CD4-NV-CM,Slc22A17
CD4-NV-CM,Fhit
CD4-NV-CM,Slc16A10
CD4-NV-CM,Zfp563
CD4-NV-CM,Fcmr
CD4-NV-CM,Ldlrap1
CD4-NV-CM,Sult1B1
CD4-NV-CM,Atm
CD4-NV-CM,Sell
CD4-NV-CM,Sesn3
CD4-NV-CM,Cacna1I
CD4-NV-CM,I830077J02Rik
CD4-NV-CM,Evi2B
CD4-NV-CM,Atg9B
CD4-NV-CM,Rasa3
CD4-NV-CM,D430019H16Rik
CD4-NV-CM,Txk
CD4-NV-CM,Mfge8
CD4-NV-CM,Dbp
CD4-NV-CM,Serinc5
CD4-NV-CM,Evi2A
CD4-NV-CM,Mmp28
CD4-NV-CM,Acacb
CD4-NV-CM,Sh3Yl1
CD4-NV-CM,Rasgrp2
CD4-NV-CM,Actn1
CD4-NV-CM,Dpep2
CD4-NV-CM,Csgalnact1
CD4-NV-CM,Tmem143
CD4-NV-CM,Edar
CD4-NV-CM,Adprm
CD4-NV-CM,Tmem204
CD4-NV-CM,Klf2
CD4-NV-CM,Add3
CD4-NV-CM,Ppp1R3E
CD4-NV-CM,Ttc28
CD4-NV-CM,Gcnt4
CD4-NV-CM,Tmem63A
CD4-NV-CM,Il24
CD4-NV-CM,Plcl1
CD4-NV-CM,Letmd1
CD4-NV-CM,Slc8B1
CD4-NV-CM,Itga6
CD4-CD8,Wdr86
CD4-CD8,Il7R
CD4-CD8,Tspan2
CD4-CD8,Lrrc2
CD4-CD8,Snai3
CD4-CD8,Cd52
CD4-CD8,Timp1
CD4-CD8,Ypel4
CD4-CD8,Calhm2
CD4-CD8,S100A4
CD4-CD8,Tsc22D3
CD4-CD8,Epha4
CD4-CD8,Zfp831
CD4-CD8,Zcchc18
CD4-CD8,Glipr1
CD4-CD8,Klrb1A
CD4-CD8,Cnpy4
CD4-CD8,Gdpd5
CD4-CD8,Tc2N
CD4-CD8,Ahnak
CD4-CD8,Pbxip1
CD4-CD8,Bcl9L
CD4-CD8,Eepd1
CD4-CD8,Adam23
CD4-CD8,Thra
CD4-CD8,Kctd7
CD4-CD8,Ctsf
CD4-CD8,Camk2N1
CD4-CD8,Dcp1B
CD4-CD8,Fxyd2
CD4-CD8,Dpysl2
CD4-CD8,Ccdc65
CD4-CD8,Cdc25B
CD4-CD8,Fam229A
CD4-CD8,Bco2
CD4-CD8,Hhat
CD4-CD8,Tgfb3
CD4-CD8,Antxr2
CD4-CD8,Aqp3
CD4-CD8,Crip2
CD4-CD8,Myo1F
CD4-CD8,Mpp7
CD4-CD8,Nmt2
CD4-CD8,Utrn
CD4-CD8,Nlrp3
CD4-CD8,Btd
CD4-CD8,Klf2
CD4-CD8,Zfp36L2
CD4-CD8,Sun2
CD4-CD8,Fxyd1
CD4-CD8,Igfbp6
CD4-CD8,Sfxn3
CD4-CD8,Cep128
CD4-CD8,Plcd1
CD4-CD8,Cyb561
CD4-CD8,Ankmy2
CD4-CD8,Baz2B
CD4-CD8,Gm13305
CD4-CD8,Itgb7
CD4-CD8,Acsf2
CD4-CD8,Atxn7L1
CD4-CD8,Pink1
