gs_name,gene_symbol
CD69pos_CD69neg_up,Camk2D
CD69pos_CD69neg_up,Gadd45A
CD69pos_CD69neg_up,S1Pr1
CD69pos_CD69neg_up,Megf9
CD69pos_CD69neg_up,Epha4
CD69pos_CD69neg_up,Galnt3
CD69pos_CD69neg_up,Ganc
CD69pos_CD69neg_up,Gbp2B
CD69pos_CD69neg_up,Gpr15
CD69pos_CD69neg_up,Gpr34
CD69pos_CD69neg_up,Gss
CD69pos_CD69neg_up,Icam2
CD69pos_CD69neg_up,Il4Ra
CD69pos_CD69neg_up,Gm13305
CD69pos_CD69neg_up,Insig1
CD69pos_CD69neg_up,Insl3
CD69pos_CD69neg_up,Itga5
CD69pos_CD69neg_up,Map3K9
CD69pos_CD69neg_up,Mtcp1
CD69pos_CD69neg_up,Mtif2
CD69pos_CD69neg_up,Gadd45B
CD69pos_CD69neg_up,Myh3
CD69pos_CD69neg_up,Naga
CD69pos_CD69neg_up,Nedd4
CD69pos_CD69neg_up,Nthl1
CD69pos_CD69neg_up,Pmch
CD69pos_CD69neg_up,Pms2
CD69pos_CD69neg_up,Pex5
CD69pos_CD69neg_up,Rara
CD69pos_CD69neg_up,Rasa1
CD69pos_CD69neg_up,Rbbp8
CD69pos_CD69neg_up,Rln1
CD69pos_CD69neg_up,Atxn7
CD69pos_CD69neg_up,Xcl1
CD69pos_CD69neg_up,Sell
CD69pos_CD69neg_up,Slc7A1
CD69pos_CD69neg_up,Vamp1
CD69pos_CD69neg_up,Taf5
CD69pos_CD69neg_up,Vipr1
CD69pos_CD69neg_up,Wnt7A
CD69pos_CD69neg_up,Gm20541
CD69pos_CD69neg_up,Sgpl1
CD69pos_CD69neg_up,Dok2
CD69pos_CD69neg_up,Mtmr4
CD69pos_CD69neg_up,Rrp9
CD69pos_CD69neg_up,Hacd1
CD69pos_CD69neg_up,Cdyl
CD69pos_CD69neg_up,Bag3
CD69pos_CD69neg_up,Rgp1
CD69pos_CD69neg_up,Nr1D2
CD69pos_CD69neg_up,Tspan32
CD69pos_CD69neg_up,Rasgrp2
CD69pos_CD69neg_up,Maea
CD69pos_CD69neg_up,Tesk2
CD69pos_CD69neg_up,Sema4B
CD69pos_CD69neg_up,Fbln5
CD69pos_CD69neg_up,Ipo7
CD69pos_CD69neg_up,Grap
CD69pos_CD69neg_up,Sec24A
CD69pos_CD69neg_up,Ripk3
CD69pos_CD69neg_up,Cacfd1
CD69pos_CD69neg_up,Kptn
CD69pos_CD69neg_up,Rasa3
CD69pos_CD69neg_up,Mon1B
CD69pos_CD69neg_up,Cluap1
CD69pos_CD69neg_up,Dmxl2
CD69pos_CD69neg_up,Szt2
CD69pos_CD69neg_up,Sun1
